Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Viscosity, cP",Reference (DOI)
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,318.15,47.982,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,323.15,37.868,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,328.15,30.342,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,333.15,24.722,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,338.15,20.402,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.2,0.8,,343.15,17.139,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,293.15,70.916,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,298.15,53.415,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,303.15,41.112,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,308.15,32.268,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,313.15,25.802,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,318.15,20.961,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,323.15,17.268,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,328.15,14.431,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,333.15,12.176,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0909,0.9091,,338.15,10.39,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,293.15,57.19,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,298.15,43.59,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,303.15,33.68,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,308.15,26.69,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,313.15,21.74,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,318.15,17.83,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,323.15,14.79,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,328.15,12.43,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,333.15,10.57,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,338.15,9.082,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Diethylene glycol,,0.0588,0.9412,,343.15,7.87,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,293.15,233.75,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,298.15,166.52,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,303.15,121.64,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,308.15,90.906,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,313.15,69.365,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,318.15,53.992,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,323.15,42.727,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,328.15,34.352,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,333.15,28.074,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,338.15,23.177,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.2,0.8,,343.15,19.402,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,293.15,95.287,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,298.15,71.692,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,303.15,54.826,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,308.15,42.757,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,313.15,33.94,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,318.15,27.405,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,323.15,22.423,10.1016/j.molliq.2017.06.024
2,Ⅲ,0,0,1,0,0,Allyltriphenylphosphonium bromide,Triethylene glycol,,0.0909,0.9091,,328.15,18.652,10.1016/j.molliq.2017.06.024
