Number of components,Type of DES,I,II,III,IV,V,Component#1,Component#2,Component#3,X#1 (molar fraction),X#2 (molar fraction),X#3 (molar fraction),"Temperature, K","Density, g/cm^3",Reference (DOI)
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,338.15,1.11011,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Choline chloride,Levulinic acid,,0.25,0.75,,343.15,1.10648,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,293.15,1.1444,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,298.15,1.14058,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,303.15,1.13687,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,308.15,1.13301,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,313.15,1.12943,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,318.15,1.12561,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,323.15,1.12182,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,328.15,1.11791,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,333.15,1.11441,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,338.15,1.1107,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Acetylcholine chloride,Levulinic acid,,0.25,0.75,,343.15,1.10685,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,293.15,1.09741,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,298.15,1.09392,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,303.15,1.0903,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,308.15,1.08664,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,313.15,1.08328,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,318.15,1.07967,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,323.15,1.07612,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,328.15,1.0725,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,333.15,1.0692,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,338.15,1.06574,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium chloride,Levulinic acid,,0.25,0.75,,343.15,1.06229,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,293.15,1.17735,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,298.15,1.17362,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,303.15,1.16985,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,308.15,1.16602,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,313.15,1.16219,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,318.15,1.15836,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,323.15,1.15456,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,328.15,1.15116,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,333.15,1.14737,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,338.15,1.14345,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetraethylammonium bromide,Levulinic acid,,0.25,0.75,,343.15,1.13974,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,293.15,1.03453,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,298.15,1.03096,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,303.15,1.02729,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,308.15,1.02379,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,313.15,1.02026,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,318.15,1.01667,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,323.15,1.01307,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,328.15,1.0095,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,333.15,1.006,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,338.15,1.00249,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium chloride,Levulinic acid,,0.25,0.75,,343.15,0.99891,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,293.15,1.10089,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,298.15,1.09717,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,303.15,1.09352,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,308.15,1.08987,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,313.15,1.0862,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,318.15,1.08256,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,323.15,1.07877,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,328.15,1.07566,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,333.15,1.07205,10.1016/j.molliq.2016.07.039
2,Ⅲ,0,0,1,0,0,Tetrabutylammonium bromide,Levulinic acid,,0.25,0.75,,338.15,1.06837,10.1016/j.molliq.2016.07.039
